,Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,20,191004.99478714162,70.0,11200,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,136793.13513513515,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,5,1965,1965,218876.93356643355,179803.6792189679,163077.45045045044,167661.5652173913,156958.24311926606,0.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,146889.24812030076,906.0,0.0,134.0,1040.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1040,0,1040,1.0,0.0,1,0,3,1,139962.51156462586,5,183429.14705882352,0,134091.16279069768,142156.42314049587,1.0,384.0,187489.8360030511,187885.73529411765,186433.973880597,0,0,0,0,0,0,0,2,2008,173401.8366219416,175202.21953255427,129500
11,12,60,191004.99478714162,85.0,11924,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,9,5,2005,2006,218876.93356643355,179803.6792189679,150655.07692349725,161328.94736842104,265583.625,286.0,367360.96153846156,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,165652.29590766,235413.72009569377,998.0,0.0,177.0,1175.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1182,1142,2324,1.0,0.0,3,0,4,1,328554.67,11,183429.14705882352,2,254751.73863636365,240052.6903409091,3.0,736.0,187489.8360030511,187885.73529411765,186433.973880597,147,21,0,0,0,0,0,7,2006,274945.41803278687,272291.752,345000
12,13,20,191004.99478714162,69.0,12968,239833.36585365853,180183.74675819985,176938.0475285171,179956.7995658466,136793.13513513515,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1962,1962,218876.93356643355,179803.6792189679,163077.45045045044,168112.38732394367,156958.24311926606,0.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,161573.06818181818,737.0,0.0,175.0,912.0,182021.19537815126,142362.8761682243,186186.7098901099,186825.1131934033,912,0,912,1.0,0.0,1,0,2,1,139962.51156462586,4,183429.14705882352,0,134091.16279069768,142156.42314049587,1.0,352.0,187489.8360030511,187885.73529411765,186433.973880597,140,0,0,0,176,0,0,9,2008,173401.8366219416,175202.21953255427,144000
13,14,20,191004.99478714162,91.0,10652,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,7,5,2006,2007,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,265583.625,306.0,231633.51024590165,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,206643.42081447964,170670.57674418605,0.0,0.0,1494.0,1494.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1494,0,1494,0.0,0.0,2,0,3,1,212116.02389078497,7,183429.14705882352,1,202892.65632183908,202068.86966824645,3.0,840.0,187489.8360030511,187885.73529411765,186433.973880597,160,33,0,0,0,0,0,8,2007,274945.41803278687,272291.752,279500
14,15,20,191004.99478714162,69.0,10920,206101.6652892562,180183.74675819985,181623.4258555133,179956.7995658466,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,6,5,1960,1960,218876.93356643355,179803.6792189679,149422.17727272728,149803.17289719626,204691.87191011236,212.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,149493.6554054054,733.0,0.0,520.0,1253.0,182021.19537815126,142362.8761682243,186186.7098901099,186825.1131934033,1253,0,1253,1.0,0.0,1,1,2,1,139962.51156462586,5,183429.14705882352,1,202892.65632183908,202068.86966824645,1.0,352.0,187489.8360030511,187885.73529411765,186433.973880597,0,213,176,0,0,0,0,5,2008,173401.8366219416,175202.21953255427,157000
15,16,45,126316.83027522935,51.0,6120,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,124834.05172413793,184495.49206349207,181169.40553633217,185763.80737704918,110150.15996585367,7,8,1929,2001,171483.95617879054,179803.6792189679,149841.64563106795,148386.0659898477,156958.24311926606,0.0,144341.31346578366,184034.89625585024,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0.0,0.0,832.0,832.0,182021.19537815126,214914.42914979756,186186.7098901099,122196.89361702128,854,0,854,0.0,0.0,1,0,2,1,139962.51156462586,5,183429.14705882352,0,134091.16279069768,142156.42314049587,2.0,576.0,187489.8360030511,187885.73529411765,186433.973880597,48,112,0,0,0,0,0,7,2007,173401.8366219416,175202.21953255427,132000
16,17,20,191004.99478714162,69.0,11241,206101.6652892562,180183.74675819985,223854.6170212766,179956.7995658466,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,6,7,1970,1970,171483.95617879054,179803.6792189679,149841.64563106795,148386.0659898477,204691.87191011236,180.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,161573.06818181818,578.0,0.0,426.0,1004.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1004,0,1004,1.0,0.0,1,0,2,1,139962.51156462586,5,183429.14705882352,1,202892.65632183908,240052.6903409091,2.0,480.0,187489.8360030511,187885.73529411765,186433.973880597,0,0,0,0,0,0,700,3,2010,173401.8366219416,175202.21953255427,149000
17,18,90,191004.99478714162,72.0,10791,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,136793.13513513515,184495.49206349207,181169.40553633217,133541.07692307694,175985.4779614325,4,5,1967,1967,171483.95617879054,179803.6792189679,149422.17727272728,149803.17289719626,156958.24311926606,0.0,144341.31346578366,184034.89625585024,107365.62500754818,105652.89189189191,105652.89189189191,107938.34210526316,105652.89189189191,0.0,0.0,0.0,0.0,182021.19537815126,142362.8761682243,186186.7098901099,186825.1131934033,1296,0,1296,0.0,0.0,2,0,2,2,139962.51156462586,6,183429.14705882352,0,109985.90724944962,142156.42314049587,2.0,516.0,187489.8360030511,187885.73529411765,186433.973880597,0,0,0,0,0,0,500,10,2006,173401.8366219416,175202.21953255427,90000
18,19,20,191004.99478714162,66.0,13695,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,186555.7966101695,138401.9303716681,181169.40553633217,185763.80737704918,175985.4779614325,5,5,2004,2004,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,156958.24311926606,0.0,144341.31346578366,184034.89625585024,225230.44204018547,140759.81818181818,183632.6209000763,165652.29590766,235413.72009569377,646.0,0.0,468.0,1114.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1114,0,1114,1.0,0.0,1,1,3,1,212116.02389078497,6,183429.14705882352,0,134091.16279069768,142156.42314049587,2.0,576.0,187489.8360030511,187885.73529411765,186433.973880597,0,102,0,0,0,0,0,6,2008,173401.8366219416,175202.21953255427,159000
19,20,20,191004.99478714162,70.0,7560,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1958,1965,218876.93356643355,179803.6792189679,194573.0,168112.38732394367,156958.24311926606,0.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,151852.7027027027,504.0,0.0,525.0,1029.0,182021.19537815126,142362.8761682243,186186.7098901099,186825.1131934033,1339,0,1339,0.0,0.0,1,0,3,1,139962.51156462586,6,146385.48387097096,0,202892.65632183908,142156.42314049587,1.0,294.0,187489.8360030511,187885.73529411765,186433.973880597,0,0,0,0,0,0,0,5,2009,143973.2558139535,146526.62376237623,139000
20,21,60,191004.99478714162,101.0,14215,206101.6652892562,180183.74675819985,181623.4258555133,179956.7995658466,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,8,5,2005,2006,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,204691.87191011236,380.0,231633.51024590165,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,206643.42081447964,170670.57674418605,0.0,0.0,1158.0,1158.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1158,1218,2376,0.0,0.0,3,1,4,1,212116.02389078497,9,183429.14705882352,1,254751.73863636365,202068.86966824645,3.0,853.0,187489.8360030511,187885.73529411765,186433.973880597,240,154,0,0,0,0,0,11,2006,274945.41803278687,272291.752,325300
21,22,45,126316.83027522935,57.0,7449,164754.81837837838,143104.07936507938,176938.0475285171,179956.7995658466,100123.7837837838,184495.49206349207,181169.40553633217,185763.80737704918,110150.15996585367,7,7,1930,1950,171483.95617879054,179803.6792189679,149841.64563106795,148386.0659898477,156958.24311926606,0.0,144341.31346578366,184034.89625585024,225230.44204018547,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0.0,0.0,637.0,637.0,182021.19537815126,214914.42914979756,186186.7098901099,107675.44444481866,1108,0,1108,0.0,0.0,1,0,3,1,212116.02389078497,6,183429.14705882352,1,202892.65632183908,142156.42314049587,1.0,280.0,187489.8360030511,187885.73529411765,115039.12222222223,0,0,205,0,0,0,0,6,2007,173401.8366219416,175202.21953255427,139400
22,23,20,191004.99478714162,75.0,9742,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2002,2002,218876.93356643355,179803.6792189679,213732.90097087377,214432.46031746033,204691.87191011236,281.0,231633.51024590165,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,170670.57674418605,0.0,0.0,1777.0,1777.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1795,0,1795,0.0,0.0,2,0,3,1,212116.02389078497,7,183429.14705882352,1,202892.65632183908,202068.86966824645,2.0,534.0,187489.8360030511,187885.73529411765,186433.973880597,171,159,0,0,0,0,0,9,2008,173401.8366219416,175202.21953255427,230000
23,24,120,126316.83027522935,44.0,4224,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,98576.47985491232,184495.49206349207,181169.40553633217,181959.34210526315,175985.4779614325,5,7,1976,1976,171483.95617879054,179803.6792189679,231690.65573770492,230093.83333333334,156958.24311926606,0.0,144341.31346578366,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,235413.72009569377,840.0,0.0,200.0,1040.0,182021.19537815126,142362.8761682243,186186.7098901099,186825.1131934033,1060,0,1060,1.0,0.0,1,0,3,1,139962.51156462586,6,183429.14705882352,1,202892.65632183908,142156.42314049587,2.0,572.0,187489.8360030511,187885.73529411765,186433.973880597,100,110,0,0,0,0,0,6,2007,173401.8366219416,175202.21953255427,129900
24,25,20,191004.99478714162,69.0,8246,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,136793.13513513515,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,8,1968,2001,171483.95617879054,179803.6792189679,175942.37962962964,168112.38732394367,156958.24311926606,0.0,144341.31346578366,168897.5684931507,149805.714511041,140759.81818181818,183632.6209000763,192789.65789473685,146889.24812030076,188.0,668.0,204.0,1060.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1060,0,1060,1.0,0.0,1,0,3,1,212116.02389078497,6,183429.14705882352,1,202892.65632183908,142156.42314049587,1.0,270.0,187489.8360030511,187885.73529411765,186433.973880597,406,90,0,0,0,0,0,5,2010,173401.8366219416,175202.21953255427,154000
25,26,20,191004.99478714162,110.0,14230,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2007,2007,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,265583.625,640.0,231633.51024590165,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,170670.57674418605,0.0,0.0,1566.0,1566.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1600,0,1600,0.0,0.0,2,0,3,1,212116.02389078497,7,183429.14705882352,1,202892.65632183908,202068.86966824645,3.0,890.0,187489.8360030511,187885.73529411765,186433.973880597,0,56,0,0,0,0,0,7,2009,173401.8366219416,175202.21953255427,256300
26,27,20,191004.99478714162,60.0,7200,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,7,1951,2000,171483.95617879054,179803.6792189679,149841.64563106795,148386.0659898477,156958.24311926606,0.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,192789.65789473685,149493.6554054054,234.0,486.0,180.0,900.0,182021.19537815126,142362.8761682243,186186.7098901099,186825.1131934033,900,0,900,0.0,1.0,1,0,3,1,212116.02389078497,5,183429.14705882352,0,134091.16279069768,142156.42314049587,2.0,576.0,187489.8360030511,187885.73529411765,186433.973880597,222,32,0,0,0,0,0,5,2010,173401.8366219416,175202.21953255427,134800
27,28,20,191004.99478714162,98.0,11478,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2007,2008,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,265583.625,200.0,231633.51024590165,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,165652.29590766,235413.72009569377,1218.0,0.0,486.0,1704.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1704,0,1704,1.0,0.0,2,0,3,1,212116.02389078497,7,183429.14705882352,1,202892.65632183908,202068.86966824645,3.0,772.0,187489.8360030511,187885.73529411765,186433.973880597,0,50,0,0,0,0,0,5,2010,173401.8366219416,175202.21953255427,306000
28,29,20,191004.99478714162,47.0,16321,206101.6652892562,180183.74675819985,223854.6170212766,179956.7995658466,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1957,1997,171483.95617879054,179803.6792189679,149422.17727272728,149803.17289719626,156958.24311926606,0.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,257689.80597014926,149493.6554054054,1277.0,0.0,207.0,1484.0,182021.19537815126,142362.8761682243,186186.7098901099,186825.1131934033,1600,0,1600,1.0,0.0,1,0,2,1,139962.51156462586,6,183429.14705882352,2,202892.65632183908,202068.86966824645,1.0,319.0,187489.8360030511,187885.73529411765,186433.973880597,288,258,0,0,0,0,0,12,2006,173401.8366219416,175202.21953255427,207500
29,30,30,126316.83027522935,60.0,6324,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,124834.05172413793,142475.4814814815,119387.12106117941,185763.80737704918,175985.4779614325,4,6,1927,1950,171483.95617879054,179803.6792189679,149422.17727272728,149803.17289719626,156958.24311926606,0.0,144341.31346578366,184034.89625585024,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0.0,0.0,520.0,520.0,182021.19537815126,123919.48979591837,105264.07368421053,186825.1131934033,520,0,520,0.0,0.0,1,0,1,1,105565.20512820513,4,183429.14705882352,0,134091.16279069768,142156.42314049587,1.0,240.0,123573.35416666667,187885.73529411765,186433.973880597,49,0,87,0,0,0,0,5,2008,173401.8366219416,175202.21953255427,68500
30,31,70,74541.12834329472,50.0,8500,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,100123.7837837838,142475.4814814815,181169.40553633217,185763.80737704918,210051.76404494382,4,4,1920,1950,148910.54419042973,179803.6792189679,194573.0,195817.99999943763,156958.24311926606,0.0,144341.31346578366,102595.14285729008,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0.0,0.0,649.0,649.0,182021.19537815126,142362.8761682243,105264.07368421053,186825.1131934033,649,668,1317,0.0,0.0,1,0,3,1,139962.51156462586,6,183429.14705882352,0,134091.16279069768,142156.42314049587,1.0,250.0,187489.8360030511,114654.02857142869,115039.12222222223,0,54,172,0,0,0,0,7,2008,173401.8366219416,175202.21953255427,40000
31,32,20,191004.99478714162,69.0,8544,206101.6652892562,180183.74675819985,223854.6170212766,179956.7995658466,136793.13513513515,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1966,2006,171483.95617879054,179803.6792189679,163077.45045045044,167661.5652173913,156958.24311926606,0.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0.0,0.0,1228.0,1228.0,182021.19537815126,156858.87136929462,186186.7098901099,186825.1131934033,1228,0,1228,0.0,0.0,1,1,3,1,212116.02389078497,6,183429.14705882352,0,202892.65632183908,142156.42314049587,1.0,271.0,187489.8360030511,187885.73529411765,186433.973880597,0,65,0,0,0,0,0,6,2008,173401.8366219416,175202.21953255427,149350
32,33,20,191004.99478714162,85.0,11049,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2007,2007,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,156958.24311926606,0.0,231633.51024590165,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,206643.42081447964,170670.57674418605,0.0,0.0,1234.0,1234.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1234,0,1234,0.0,0.0,2,0,3,1,212116.02389078497,7,183429.14705882352,0,202892.65632183908,202068.86966824645,2.0,484.0,187489.8360030511,187885.73529411765,186433.973880597,0,30,0,0,0,0,0,1,2008,173401.8366219416,175202.21953255427,179900
33,34,20,191004.99478714162,70.0,10552,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,5,1959,1959,218876.93356643355,179803.6792189679,194573.0,195817.99999943763,156958.24311926606,0.0,144341.31346578366,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,146889.24812030076,1018.0,0.0,380.0,1398.0,182021.19537815126,156858.87136929462,186186.7098901099,186825.1131934033,1700,0,1700,0.0,1.0,1,1,4,1,212116.02389078497,6,183429.14705882352,1,202892.65632183908,202068.86966824645,2.0,447.0,187489.8360030511,187885.73529411765,186433.973880597,0,38,0,0,0,0,0,4,2010,173401.8366219416,175202.21953255427,165500
